Ticker,Name,Category,Weight,Volume,Tier
AAR,antennaArray,electronic devices,0.78,0.5,3.0
ABH,advancedBulkhead,construction prefabs,0.6,0.9,4.0
ACS,automatedCoolingSystem,electronic systems,0.3,0.2,4.0
ADE,advancedDeckElements,construction prefabs,0.4,1.5,4.0
ADR,autoDoc,medical equipment,0.1,0.1,3.0
ADS,audioDistributionSystem,electronic systems,0.7,2.0,4.0
AEF,aerostatFoundation,construction parts,2.0,5.0,2.0
AEN,advancedEngine,ship engines,14.0,7.0,5.0
AFP,advancedFuelPump,ship engines,1.0,0.25,5.0
AFR,advancedFuelRod,ship engines,0.4,0.1,2.0
AGS,advancedHighgSeats,ship parts,30.0,5.0,4.0
AHP,advancedHullPlate,ship parts,10.0,10.0,3.0
AIR,airScrubber,construction parts,1.7,3.0,4.0
AL,aluminium,metals,2.7,1.0,4.0
ALE,technicianLuxuryDrink,consumables (luxury),0.1,0.1,2.0
ALG,proteinAlgae,agricultural products,0.7,1.0,2.0
ALO,aluminiumOre,ores,1.35,1.0,0.0
ALR,alurhenium,alloys,3.6,1.0,4.0
AMM,ammonia,gases,0.86,1.0,0.0
ANZ,advancedNozzle,ship engines,6.0,3.0,5.0
APT,advancedHeatShield,ship shields,0.03,0.3,4.0
AR,argon,gases,1.784,1.0,0.0
ARP,advancedRadiationShielding,ship shields,0.04,0.2,4.0
ASE,advancedStructuralElements,construction prefabs,0.5,0.6,4.0
AST,aluminiumTitaniumAlloy,alloys,4.98,1.0,4.0
ATA,advancedWindow,construction prefabs,0.3,0.4,4.0
ATP,advancedThermalProtectionMaterial,ship parts,2.9,1.0,3.0
AU,gold,metals,19.32,1.0,1.0
AUO,goldOre,ores,3.86,1.0,0.0
AWF,waterFilter,electronic devices,0.8,1.2,3.0
AWH,advancedWhippleShielding,ship shields,0.12,1.0,3.0
BAC,bacteria,chemicals,0.15,0.15,3.0
BAI,basicAiFramework,software components,0.001,0.01,3.0
BBH,basicBulkhead,construction prefabs,0.5,0.8,1.0
BCO,copperConnectors,electronic pieces,0.005,0.002,2.0
BDE,basicDeckElements,construction prefabs,0.1,1.5,1.0
BE,beryllium,elements,1.84,1.0,4.0
BEA,proteinBeans,agricultural products,0.8,1.0,1.0
BER,beryl,minerals,1.92,1.0,0.0
BFP,basicFuelPump,ship engines,0.8,0.2,5.0
BFR,basicFuelRod,ship engines,0.3,0.1,2.0
BGC,blueGoldConnectors,electronic pieces,0.01,0.002,2.0
BGO,goldIronAlloy,alloys,19.32,1.0,2.0
BGS,basicHighgSeats,ship parts,20.0,3.0,4.0
BHP,basicHullPlate,ship parts,9.0,10.0,3.0
BID,fullBodyInteractionDevice,electronic devices,0.05,0.05,2.0
BL,breathableLiquid,chemicals,1.12,1.0,3.0
BLE,bleach,chemicals,0.5,0.5,3.0
BMF,mainFrameBlank,electronic devices,0.8,1.2,3.0
BND,bandages,medical equipment,0.001,0.005,3.0
BOR,boronCrystals,minerals,1.8,1.0,0.0
BOS,borosilicate,alloys,1.5,1.0,4.0
BPT,basicHeatShield,ship shields,0.02,0.3,4.0
BR1,commandBridge1,unit prefabs,180.0,300.0,2.0
BR2,commandBridge2,unit prefabs,280.0,400.0,2.0
BRM,bioreactiveMineral,minerals,2.5,1.0,0.0
BRO,copperAluminiumAlloy,alloys,8.73,1.0,2.0
BRP,basicRadiationShielding,ship shields,0.03,0.2,4.0
BRS,commandBridgeShort,unit prefabs,150.0,200.0,2.0
BSC,bodyScanner,electronic devices,0.1,0.1,3.0
BSE,basicStructuralElements,construction prefabs,0.3,0.5,1.0
BSU,biosphereUnit,unit prefabs,50.0,50.0,2.0
BTA,basicWindow,construction prefabs,0.3,0.4,1.0
BTS,tungstenResource,liquids,1.05,1.0,0.0
BWH,basicWhippleShielding,ship shields,0.1,1.0,3.0
BWS,workstationBlank,electronic devices,0.05,0.1,3.0
C,carbon,elements,2.25,1.0,1.0
CA,calcium,elements,1.54,1.0,2.0
CAF,caffeinatedBeans,agricultural products,0.86,1.0,2.0
CAP,capacitor,electronic pieces,0.001,0.001,3.0
CBL,largeCapacitorBank,energy systems,5.4,2.4,3.0
CBM,mediumCapacitorBank,energy systems,3.6,1.6,3.0
CBS,smallCapacitorBank,energy systems,1.8,0.8,3.0
CBU,scientistBundle,consumable bundles,54.0,47.0,2.0
CC,climateController,electronic systems,0.5,1.0,5.0
CCD,crowdControlDrone,drones,0.3,0.05,4.0
CD,touchScreen,electronic parts,0.004,0.002,3.0
CF,ceramicFabric,textiles,2.82,1.0,1.0
CHA,combustionChamber,ship engines,1.2,0.7,1.0
CL,chlorine,elements,3.2,1.0,2.0
CLI,caliche,minerals,2.42,1.0,0.0
CMK,coreModuleKit,construction materials,4.56,33.2,0.0
COF,pioneerLuxuryDrink,consumables (luxury),0.1,0.1,1.0
COM,communicationSystem,electronic systems,0.5,1.5,4.0
COT,cottonProcessed,textiles,0.77,1.0,2.0
CPU,cryopreservationUnit,unit prefabs,20.0,20.0,2.0
CQL,crewQuarters,unit prefabs,75.0,150.0,2.0
CQM,crewQuartersMed,unit prefabs,50.0,100.0,2.0
CQS,crewQuartersSmall,unit prefabs,25.0,50.0,2.0
CQT,crewQuartersTiny,unit prefabs,12.5,25.0,2.0
CRU,cryoUnit,electronic systems,2.2,2.0,5.0
CST,cryogenicFluid,chemicals,1.14,1.0,3.0
CTF,ceramicTungstenFabric,textiles,4.32,1.0,4.0
CU,copper,metals,8.92,1.0,1.0
CUO,copperOre,ores,4.01,1.0,0.0
DA,dataAnalyzer,software tools,0.001,0.01,4.0
DCH,droneChassis,drones,0.2,0.03,4.0
DCL,largeDeviceCover,plastics,0.08,0.8,2.0
DCM,mediumDeviceCover,plastics,0.04,0.4,2.0
DCS,smallDeviceCover,plastics,0.01,0.1,2.0
DD,distributedDatabase,software tools,0.001,0.01,4.0
DDT,pesticides,chemicals,0.11,0.1,3.0
DEC,decorativeElements,construction parts,0.5,2.0,2.0
DIS,twoDimensionalDisplay,electronic parts,0.02,0.02,3.0
DOU,droneOperationsUnit,unit prefabs,5.0,4.0,2.0
DRF,droneFrame,drones,0.1,0.02,4.0
DV,dataVisualizer,software tools,0.001,0.01,4.0
DW,drinkingWater,consumables (basic),0.1,0.1,1.0
EBU,engineerBundle,consumable bundles,51.0,46.0,2.0
EDC,entertainmentDataCore,software tools,0.001,0.01,4.0
EES,enrichedEinsteinium,chemicals,9.2,1.0,5.0
ENG,standardEngine,ship engines,8.0,4.0,5.0
EPO,epoxy,construction materials,0.04,0.02,2.0
ES,einsteinium,elements,0.88,0.1,5.0
ETC,enrichedTechnetium,chemicals,4.1,1.0,3.0
EXO,settlerClothing,consumables (basic),0.1,0.05,1.0
F,fluorine,gases,1.696,1.0,0.0
FAL,aluminiumIronAlloy,alloys,3.22,1.0,4.0
FAN,coolingFan,electronic parts,0.1,0.1,3.0
FC,flowControl,construction parts,0.5,0.25,1.0
FE,iron,metals,7.874,1.0,4.0
FEO,ironOre,ores,5.9,1.0,0.0
FET,ironTitaniumAlloy,alloys,6.85,1.0,4.0
FF,ftlFuel,fuels,0.05,0.01,2.0
FFC,ftlFieldController,electronic systems,50.0,16.0,4.0
FIM,engineerFood,consumables (basic),0.55,0.5,1.0
FIR,fissionReactor,ship engines,7.0,4.9,3.0
FLO,floatingTank,construction parts,1.0,2.0,2.0
FLP,fluidPiping,construction parts,0.3,2.0,1.0
FLX,flux,chemicals,0.25,0.1,2.0
FOD,allPurposeFodder,agricultural products,1.2,1.0,1.0
FSE,fuelSavingEngine,ship engines,6.0,3.0,5.0
FUN,entertainmentUnit,unit prefabs,5.0,4.0,2.0
GAL,galerite,minerals,2.51,1.0,0.0
GC,gasContainer,construction parts,0.05,0.1,1.0
GCH,glassCombustionChamber,ship engines,1.0,0.6,2.0
GEN,glassEngine,ship engines,5.0,3.0,2.0
GIN,engineerLuxuryDrink,consumables (luxury),0.1,0.1,2.0
GL,translucentMaterial,construction materials,0.016,0.01,2.0
GNZ,glassNozzle,ship engines,1.5,1.0,2.0
GRA,grapes,agricultural products,1.1,1.0,3.0
GRN,carbohydrateGrains,agricultural products,0.9,1.0,1.0
GV,gasVent,construction parts,0.25,0.15,1.0
GWS,gatewaySegment,infrastructure,5000.0,5000.0,5.0
H,hydrogen,gases,0.07,1.0,0.0
H2O,water,liquids,0.2,0.2,0.0
HAB,habitatUnit,unit prefabs,10.0,8.0,2.0
HAL,halite,minerals,2.17,1.0,0.0
HAM,habitationModule,ship parts,1200.0,1200.0,2.0
HCB,hugeCargoBay,ship kits,500.0,500.0,3.0
HCC,redGoldConnectors,electronic pieces,0.01,0.002,2.0
HCP,hydrocarbonPlants,agricultural products,0.8,1.0,1.0
HD,holographicDisplay,electronic devices,0.05,2.0,3.0
HE,helium,gases,0.145,1.0,0.0
HE3,helium3,gases,0.145,1.0,2.0
HER,herbs,agricultural products,0.4,1.0,1.0
HEX,heliotropeExtract,liquids,1.1,1.0,0.0
HHP,hardenedHullPlate,ship parts,10.0,10.0,3.0
HMS,technicianClothing,consumables (basic),0.05,0.05,2.0
HNZ,hyperthrustNozzle,ship engines,6.0,12.0,5.0
HOG,holographicGlasses,electronic devices,0.01,0.01,2.0
HOP,antibacterialTreeFlowers,agricultural products,0.35,1.0,3.0
HPC,touchDeviceBlank,electronic devices,0.003,0.003,3.0
HPR,highPowerReactor,ship engines,16.0,15.0,5.0
HSE,hardenedStructuralElements,construction prefabs,3.1,0.7,3.0
HSS,engineerClothing,consumables (basic),0.05,0.05,2.0
HTE,hyperthrustEngine,ship engines,16.0,10.0,5.0
HYR,hyperPowerReactor,ship engines,25.0,25.0,5.0
I,iodine,elements,4.93,1.0,1.0
IDC,informationDataCore,software systems,0.001,0.01,5.0
IMM,informationManagementSystem,software systems,0.001,0.01,5.0
IND,indigo,chemicals,0.21,0.2,2.0
INS,insuFoam,construction materials,0.06,0.1,3.0
JUI,sedativeSubstance,chemicals,1.2,1.0,3.0
KOM,settlerLuxuryDrink,consumables (luxury),0.1,0.1,2.0
KR,krypton,gases,2.8,1.0,0.0
KRE,kryptonium,chemicals,8.25,1.0,5.0
KV,kevlar,textiles,1.65,1.0,2.0
LBH,lightweightBulkhead,construction prefabs,0.2,0.6,2.0
LC,scientistClothing,consumables (basic),0.05,0.05,2.0
LCB,largeCargoBay,ship kits,200.0,200.0,3.0
LCR,liquidCrystals,chemicals,0.15,0.1,2.0
LD,localDatabase,software components,0.001,0.01,3.0
LDE,lightweightDeckElements,construction prefabs,0.1,1.2,2.0
LDI,laserDiode,electronic pieces,0.001,0.001,3.0
LES,liquidEinsteinium,liquids,8.84,1.0,0.0
LFE,largeEmitter,ship engines,0.4,1.6,3.0
LFL,largeFtlTank,ship kits,60.0,10.0,3.0
LFP,lowHeatFuelPump,ship engines,0.5,0.1,2.0
LHP,lightweightHullPlate,ship parts,4.0,10.0,3.0
LI,lithium,metals,0.55,1.0,1.0
LIO,lithiumOre,ores,2.75,1.0,0.0
LIS,lifeSupportSystem,electronic systems,5.6,7.0,4.0
LIT,neonLightingSystem,construction parts,1.0,2.0,2.0
LOG,logisticsSystem,electronic systems,0.5,1.5,4.0
LSE,lightweightStructuralElements,construction prefabs,0.3,1.2,2.0
LSL,largeStlTank,ship kits,125.0,100.0,3.0
LST,limestone,minerals,2.73,1.0,0.0
LTA,lightweightWindow,construction prefabs,0.3,0.5,2.0
LU,laboratoryUnit,unit prefabs,8.0,6.0,2.0
MAG,magnetite,minerals,5.15,1.0,0.0
MAI,carbohydrateMaize,agricultural products,1.3,1.0,1.0
MB,motherBoard,electronic parts,0.075,0.075,3.0
MCB,mediumCargoBay,ship kits,100.0,100.0,3.0
MCG,mineralConstructionGranulate,construction materials,0.24,0.1,1.0
MEA,scientistFood,consumables (basic),0.6,0.5,1.0
MED,technicianHealth,consumables (basic),0.3,0.1,2.0
MFE,mediumEmitter,ship engines,0.2,0.8,3.0
MFK,fastenerKitMedium,electronic pieces,0.1,0.05,2.0
MFL,mediumFtlTank,ship kits,24.0,4.0,3.0
MG,magnesium,elements,0.27,0.16,1.0
MGC,magneticFloor,construction parts,0.6,0.9,3.0
MGS,magnesite,minerals,1.73,1.0,0.0
MHL,metalHalideLamp,construction parts,0.1,0.05,1.0
MHP,microHeadphones,electronic devices,0.001,0.001,2.0
MLI,machineLearningInterface,software components,0.001,0.01,3.0
MPC,microProcessor,electronic parts,0.001,0.001,3.0
MSL,mediumStlTank,ship kits,50.0,50.0,3.0
MTC,megaTubeCoating,construction materials,0.032,0.01,3.0
MTP,meat,agricultural products,0.7,1.0,3.0
MUS,mushrooms,agricultural products,0.8,1.0,2.0
